"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","18:03","18:03","2.85","6:20","6:27","115","138","5","15","183","255","50.2% L / 49.8% R","0.86","7.7","9.0","198","201","3.69","322","5.91","145","29.0","3:53","201","17:59","6:19"
"","1","Run","2","6:46.4","24:49","1.50","4:31","4:33","155","163","1","3","194","178","48.2% L / 51.8% R","1.13","7.8","6.8","252","254","4.66","277","5.08","78","27.0","4:22","198","6:46","4:31"
"","","Recovery","3","2:30","27:19","0.30","8:24","8:14","132","162","0","0","160","293","49.5% L / 50.5% R","0.74","6.4","8.8","178","148","2.72","285","5.23","19","27.0","4:31","192","2:28","8:17"
"","2","Run","4","6:45.7","34:05","1.50","4:30","4:30","162","168","3","4","195","183","48.2% L / 51.8% R","1.14","7.8","6.6","252","254","4.66","284","5.21","80","27.0","4:16","198","6:45.7","4:30"
"","","Recovery","5","2:30","36:35","0.29","8:36","8:36","139","166","2","4","153","321","48.9% L / 51.1% R","0.78","6.5","8.5","173","143","2.62","274","5.03","19","28.0","4:29","190","2:28","8:29"
"","3","Run","6","6:43.4","43:18","1.50","4:29","4:30","165","172","1","1","194","185","47.8% L / 52.3% R","1.14","7.8","6.7","250","251","4.61","273","5.01","80","28.0","4:21","199","6:43","4:29"
"","","Recovery","7","2:30","45:48","0.26","9:35","9:35","142","171","0","0","143","324","49.1% L / 50.9% R","0.74","5.6","7.8","154","119","2.18","285","5.23","18","28.0","4:22","191","2:28","9:27"
"","4","Run","8","6:41.7","52:30","1.50","4:28","4:29","170","176","4","3","194","184","47.5% L / 52.5% R","1.15","7.9","6.7","251","253","4.64","277","5.08","83","28.0","4:18","197","6:41.7","4:28"
"","","Recovery","9","3:00","55:30","0.23","12:52","12:34","134","174","1","1","115","430","50.1% L / 49.9% R","0.69","4.0","5.7","141","68","1.25","279","5.12","17","29.0","4:25","195","2:58","12:43"
"","5","Run","10","0:45.5","56:16","0.20","3:48","3:54","159","170","0","0","200","140","49.5% L / 50.5% R","1.29","8.1","6.3","265","289","5.30","335","6.15","10","29.0","3:33","202","0:45","3:45"
"","","Recovery","11","1:30","57:46","0.11","13:22","12:56","144","171","0","0","117","440","49.4% L / 50.6% R","0.67","3.9","5.8","175","69","1.27","326","5.98","10","29.0","3:58","193","1:28","13:04"
"","6","Run","12","0:42.0","58:28","0.20","3:30","3:48","156","171","1","0","200","135","49.8% L / 50.2% R","1.30","8.3","6.4","249","287","5.27","319","5.85","9","29.0","3:27","203","0:42","3:30"
"","","Recovery","13","1:30","59:58","0.11","13:14","12:17","145","172","0","0","127","409","51.2% L / 48.8% R","0.67","4.0","6.0","179","75","1.38","346","6.35","10","29.0","3:26","190","1:28","12:56"
"","7","Run","14","0:41.9","1:00:39","0.20","3:29","3:38","157","169","0","0","202","132","50.2% L / 49.8% R","1.34","8.0","6.0","264","298","5.47","317","5.82","9","29.0","3:27","204","0:41.9","3:29"
"","","Recovery","15","0:43.3","1:01:23","0.06","12:31","10:31","157","171","0","0","117","422","50.5% L / 49.5% R","0.76","3.7","4.7","218","72","1.32","342","6.28","7","29.0","3:37","194","0:43","12:26"
"","8","Run","16","0:00.8","1:01:23","0.00","11:24","13:56","144","144","0","0","110","--","--","0.68","3.5","5.2","40","39","0.72","39","0.72","0","29.0","13:38","110","--","--"
"","","Cool Down","17 - 18","8:22.7","1:09:46","1.33","6:19","6:20","140","150","11","2","182","261","49.3% L / 50.7% R","0.86","7.6","8.8","204","209","3.83","276","5.06","72","29.0","5:24","190","8:20","6:17"
"","","Cool Down","17","5:28.0","1:06:52","0.87","6:19","6:29","137","148","4","2","182","258","49.3% L / 50.7% R","0.85","7.6","9.0","193","204","3.74","244","4.48","45","29.0","5:24","189","5:26","6:17"
"","","Cool Down","18","2:54.7","1:09:46","0.46","6:18","6:05","144","150","7","0","181","265","49.3% L / 50.7% R","0.89","7.5","8.5","221","219","4.02","276","5.06","27","28.0","5:36","190","2:54.7","6:18"
"","Summary","--","--","1:09:46","1:09:46","12.14","5:45","5:46","143","176","31","34","178","234","49.0% L / 51.0% R","0.95","7.2","7.6","223","206","3.78","346","6.35","666","28.2","3:26","204","1:09:35","5:44"
